"How, if in any way, this course helped you prepare for school opening after COVID-19?",The independent online work activities were well-designed to help me meet the learning targets.,The Zoom meeting activities were well-designed to help me meet the learning targets.,I felt a sense of community with the other participants in this course even though we were meeting virtually.,This course helped me navigate remote and/or hybrid learning during COVID-19.
Helped to prepare by learning information about how to incorporate small groups during COVID-19.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It didn't. I have been through this program twice before.,Agree,Neither agree nor disagree,Strongly agree,Agree
1,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
"It really didn't help with remote. It made me more aware of how I'm posing questions to try to facilitate engagement and discourse, but I don't really feel like I got specific techniques for getting students to participate in the virtual environment.",Agree,Agree,Agree,Neither agree nor disagree
It's validated my concerns and current issues.,Neither agree nor disagree,Agree,Strongly agree,Agree
Brainstorming how to maximize opportunities for discourse in the context of little-to-no student-student discussion.,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
Watching how the facilitators navigated these learning targets was a great way for me to see someone being successful in an online teaching environment.,Neither agree nor disagree,Agree,Strongly agree,Disagree
The conversations and material on student discourse will be useful when we are back in a class room. I am in classes of 73 minutes starring at black boxes and minimal conversation through chat. I would enjoy student discourse but it does not occur in virtual instruction.,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree
Ideas for learning tools and alternate student-response platforms,Agree,Agree,Strongly agree,Neither agree nor disagree
Hearing other teachers' experiences with it helped me not feel crazy or ineffective. Conversations always encouraged me to keep trying.,Agree,Agree,Agree,Agree
pushing me to keep trying to encourage discourse even when I am getting nowhere with it,Neither agree nor disagree,Agree,Agree,Disagree
4,Agree,Agree,Agree,Disagree
5,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This course has not really helped me as an inclusion teacher in English class. ,Disagree,Neither agree nor disagree,Disagree,Disagree
5,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree
"Well, I am trying to get through the Covid monster, but I will definitely be able to use some of this afer everyone is back and things are a bit more equal.",Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
4,Strongly agree,Agree,Strongly agree,Neither agree nor disagree
Student talk does not really happen this year. I make instruction videos that the kids watch on their own schedule. There is no interaction between the students.,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree
We would bring up issues and try and problem solve through them. The facilitators did a nice job of fielding questions and posing ideas.,Agree,Agree,Strongly agree,Agree
I will try to implement some of the practices and strategies mentioned.,Agree,Agree,Agree,Agree
I will try to implement some of the practices and strategies mentioned.,Agree,Agree,Agree,Agree
4,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
"I have two students ages 7 and 8. They are both non verbal with severe/profound cognitive delays. They are both on level one elementary of the Unique Curriculum. I am working towards them selecting a picture answer. At this point one will select a picture (no distinct choice) for a snack/treat. One will tap a buzzer for a snack. We are working on following one step directives, potty training and feeding skills. They are no where near writing or understanding any of the strategies for writing. They are on infant/toddler cognitive levels.",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
"In addition to delayed school re-openings after COVID-19, Calcasieu schools were also closed due to back-to-back severe weather events- Hurricane Laura (August 24, 2020- October 02, 2020) and Hurricane Delta (October 06, 2020- October 16, 2020). The four schools participating in the SPDG grant experienced significant damages and were some of the last schools to open with dates ranging  from October 21, 2020 to October 29, 2020.  In the absence BOY PD, collaboration opportunities with colleagues, as well as obstacles that impeded productive planning, this training provided participants with a much-needed boost and targeted guidance that can be used immediately in planning to support students with disabilities in writing. It also provided new insight on identifying and delivering appropriate writing supports and strategies that meet students' specific learning needs.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
Getting information on writing has opened my eyes on Guidebooks,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
4,Agree,Disagree,Agree,Neither agree nor disagree
We just went through this course this week but knowing different strategies to teach students writing will help the rest of the year and the years to come plus you are able to see which strategy will work for your classroom.,Agree,Agree,Agree,Agree
I think this allowed me to think for plans of group work and how I can still support my students writing strengthening through tasks that don't have to be close contact.,Strongly agree,Strongly agree,Strongly agree,Agree
5,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Discussing ideas with others.,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
Not sure,Agree,Agree,Agree,Agree
"This course reinforced some practices and routines that have been happening, but maybe known more subconsciously. This course also helps us see that we don't have to take a one size fits all approach to checking for understanding. Checking involves different approaches and looks different for students since everyone does not learn the same way.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
5,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Students can still be equally accountable for work and participation. Ideas were shared and helpful.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Talking with other teachers seeing how they are incorporating different strategies.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
3,Agree,Agree,Agree,Agree
N/A,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree
