date_for_the_session,professional_training_session,select_your_site_district_parish_or_network,select_the_best_description_for_your_role,select_the_grade_band_s_you_focused_on,learning_session_satisfaction,todays_topic_was_relevant_for_my_role,designed_to_help_me_learn,learning_to_try_out,likely_to_apply_46_weeks,select_the_name_of_your_first_facilitator,s_he_facilitated_the_content_clearly_12,s_he_effectively_built_a_community_of_learners_13,did_you_have_a_second_facilitator,select_the_name_of_your_second_facilitator,s_he_facilitated_the_content_clearly_16,s_he_effectively_built_a_community_of_learners_17,overall_what_went_well_in_this_professional_learning,which_activities_best_supported_your_learning,what_could_have_improved_your_experience,likely_to_recommend_colleague_friend,why_did_you_choose_this_rating,do_you_have_additional_comments
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Using student work to elicit more student feedback,Agree,Ryan C,Strongly agree,Strongly agree,NA,NA,NA,NA,I learned new strategies,Group work,Tool to help implement the strategies,10,It was helpful and informative,The ability to collaborate with other teachers is GREAT.
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Neither agree nor disagree,Agree,Agree,Re-engagement lesson,Strongly agree,Ryan C,Strongly agree,Strongly agree,NA,NA,NA,NA,Looking at our own student samples to look for strengths in instruction and learning,Student samples,More plan time,8,Lots of useful strategies,NA
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Neither agree nor disagree,Strongly agree,Disagree,increase student participation by 50 percent,Strongly agree,Ryan C,Strongly agree,Neither agree nor disagree,NA,NA,NA,NA,Collaboration with colleagues,Collaboration with colleagues I haven‚Äôt seen in a while,"Healthier food options, allow me to choose the people I work with",0,It‚Äôs boring,NA
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Agree,Agree,Agree,Re-engagement lessons.,Strongly agree,Ryan C,Agree,Agree,NA,NA,NA,NA,The ideas,Working with table mates.,More organized paperwork.,7,It‚Äôs helpful.,No
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Agree,Agree,Agree,Using student work to prompt re-engagement lessons,Strongly agree,Ryan C,Strongly agree,Strongly agree,NA,NA,NA,NA,Collaboration around dilemmas,re-engagement lesson!! looking at our student work and identifying understanding,time to look at our next lesson,7,I don't talk to many people about it.,NA
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Agree,Strongly agree,Agree,Reengamemet lesson,Strongly agree,Ryan C,Agree,Strongly agree,NA,NA,NA,NA,Dilemma discussion,Group discussions,More dilemma discussions,9,Really helpful to connect with others across District,NA
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,I liked having the time to analyze the student work.,Strongly agree,Ryan C,Strongly agree,Strongly agree,NA,NA,NA,NA,I felt like being separated into high school and middle was good. I feel like we were given the correct amount of time to analyze student work.,Discussion with other teachers helped me learn and feel good about what I am doing.,I do not have any suggestions at this point.,8,I would recommend this PD because I can use the material immediately.,No.
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Engaging students in evaluating student work.,Strongly agree,Ryan C,Strongly agree,Strongly agree,NA,NA,NA,NA,Teacher work time to review student work after being given prompts.,Open discussions about best teaching practices with other CPS Algebra 1 teachers.,Too many packets. Please number them in the future! I kept getting lost with which packet we were in.,10,Helpful teacher training professionals.,NA
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Strongly agree,Agree,Strongly agree,Increasing student engagement and self-efficacy within mathematics,Strongly agree,Ryan C,Strongly agree,Strongly agree,NA,NA,NA,NA,Using our own student data to guide future instruction,Re-engagement lesson,Better internet connection (connectivity problems),10,Great facilitator and great content,No
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Working on re-engagement activities versus re-teaching the exact same thing.,Strongly agree,Ryan C,Strongly agree,Strongly agree,NA,NA,NA,NA,I loved the collaboration and leadership - the opportunity to work with different teachers throughout the district was great!,Re-engagement activity with the instructions!,Nothing!,10,It was a great experience!,Awesome and well spent day!
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reengagement,Strongly agree,Ryan C,Strongly agree,Strongly agree,NA,NA,NA,NA,It was very focused and moved at appropriate pace,Learning goals / student work,Nothing,10,Because session was great,No
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Agree,Agree,Agree,To re-engage students in the lesson,Neither agree nor disagree,Tamala,Strongly agree,Strongly agree,NA,NA,NA,NA,The groups we were put into after lunch,Talking with other teachers,I thought it went well,4,I would recommend Teaching Lab professional learning if it comes up in conversation,Yes
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Agree,Agree,Agree,re-engagement,Agree,Tamala,Strongly agree,Strongly agree,NA,NA,NA,NA,Exchanging ideas with other teachers.,Role playing,Me being more focused.,8,I usually don't recommend anything.,No
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Agree,Agree,Agree,Re-engagement Lessons - I am excited about this strategy and intend to implement in my classes.,Agree,Tamala,Agree,Agree,NA,NA,NA,NA,Smaller groups and much fewer side conversations,Moving around to work in different groups with everyone,Nothing I can think of,8,It best represents my thinking about this training,No
2019-10-22,"IM Student Thinking, Day 2",Pt. Coupee Parish,Teacher or specialist,NA,Agree,Agree,Agree,Reengaging,Agree,Tamala,Agree,Agree,NA,NA,NA,NA,Collaboration,Getting together with my teachers from my school,Nothing,8,Good job,NA
2019-10-22,"IM Student Thinking, Day 2",Pt. Coupee Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Learning about re-engagement in regards to re-teaching.,Agree,Tamala,Strongly agree,Strongly agree,NA,NA,NA,NA,The opportunity to teach and learn from one-another.,All of the resources presented was very useful.,n/a,9,To help my fellow co-workers.,Wonderful professional development.
2019-10-22,"IM Student Thinking, Day 2",Pt. Coupee Parish,Special education co-teacher,NA,Strongly agree,Strongly agree,Strongly agree,I learned more about funneling in the group activity,Agree,Tamala,Strongly agree,Strongly agree,NA,NA,NA,NA,Group work,The teaching and reteaching group activity,Maybe a little less time on the last activity.,8,I feel it is beneficial.,NA
2019-10-22,"IM Student Thinking, Day 2",Pt. Coupee Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,re-engagement using student work,Agree,Tamala,Strongly agree,Strongly agree,NA,NA,NA,NA,Going through my student work,Thinking about what has been going well in my classroom,Greater focus on the information in small groups.,10,"because this is the only training people i've had, but i enjoy it a lot.",nope
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Agree,Agree,Agree,I'm most excited about the lenses I will use to examine my student responses.,Strongly agree,Tamala,Agree,Strongly agree,NA,NA,NA,NA,I enjoyed the collaboration with a smaller group of professionals.,Hearing from other professionals,Find a sub for my class.üòë,8,"It's time away from my classroom, but the time is well utilized.",Yes
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Agree,Agree,Agree,Supplying students with classmates work to diagnose things students did differently.,Strongly agree,Tamala,Strongly agree,Strongly agree,NA,NA,NA,NA,The activities were spaced nicely and we had time to think and process.,The activity where we had time to review our own lesson and look at the way that we ask our students questions.,A nicer location for learning.,5,Because it is neither here nor there.,no
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Agree,Strongly agree,Agree,I want to show student work more and give the class opportunities to analyze the samples as a way of eliciting student thinking and discussion.,Strongly agree,Tamala,Agree,Agree,NA,NA,NA,NA,chances to collaborate with other math teachers in the district,consultancy session,more lesson planning time,7,"It was helpful, but I always feel pulled between the sessions and being in class.",Yes
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Agree,Agree,Agree,"looking at student work as a class comparing, contrasting, etc.",Strongly agree,Tamala,Agree,Agree,NA,NA,NA,NA,group discussions,hearing from other teachers,na,7,honing math teaching craft,no
2019-10-22,"IM Student Thinking, Day 2",Pt. Coupee Parish,Teacher or specialist,NA,Agree,Strongly agree,Agree,ReEngaging,Strongly agree,Tamala,Strongly agree,Strongly agree,NA,NA,NA,NA,COmmunity,Last session-forgot the name!,N/A,9,N>A,NA
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Re-Engagement vs. reteaching,Strongly agree,Tamala,Strongly agree,Strongly agree,NA,NA,NA,NA,"Small groups, a lot of discussing and working",Analyzing and planning reengagement,N/a,8,It‚Äôs a full circle PD,No
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Re-Engagement vs. reteaching,Strongly agree,Tamala,Strongly agree,Strongly agree,NA,NA,NA,NA,"Small groups, a lot of discussing and working",Analyzing and planning reengagement,N/a,8,It‚Äôs a full circle PD,No
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Strongly agree,Strongly agree,Agree,Reengaging vs reteaching.I like being able to revisit a topic by looking at the way student's think.,Strongly agree,Tamala,Strongly agree,Strongly agree,NA,NA,NA,NA,Loved the opportunity to try the things we were learning.,Discussion with colleagues,Nothing,10,The training was great.,NA
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Re-engagement lesson,Strongly agree,Tamala,Strongly agree,Strongly agree,NA,NA,NA,NA,Analysis classroom evidence,"Looking into the classroom evidence, seeing what went well for their work, and what to do to re-engage the students.",Being able to work with the 8th grade teachers from my school to determine what works for our specific students,10,I enjoyed the sessions and feel it was beneficial,NA
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Strongly agree,Agree,Strongly agree,Re-Engagement questions.I'm excited to get back to my students and explore this learning.,Strongly agree,Tamala,Strongly agree,Strongly agree,NA,NA,NA,NA,Great discussions,The questioning strategies,More sleep last night.,10,Excellent PD very informative.,NA
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Re-engagement lesson - so excited to try this out!!,Strongly agree,Tamala,Strongly agree,Strongly agree,NA,NA,NA,NA,"Excellent pace, awesome to have short amounts of time to plan with our own work",Re-engagement lesson explanation from Tamala,Today was great - I have no feedback for improvement,10,I learned a lot of new information today.,NA
2019-10-22,"IM Student Thinking, Day 2",Pt. Coupee Parish,District/network-based coach or Curriculum and instruction specialist,NA,Strongly agree,Strongly agree,Strongly agree,Re-engagement Activity,Strongly agree,Tamala,Strongly agree,Strongly agree,NA,NA,NA,NA,The activities were well planned and let teachers collaborate together.,All of them supported the learning.,"After we went over the benefits and challenges of eliciting student thinking, spending 15 minutes discussing one or two of the challenges and ways other people have made it work.",10,Teaching Lab is purposeful and intentional with the planning and execution of the training.,Tamala is an amazing presenter. Thank you!
2019-10-22,"IM Student Thinking, Day 2",Pt. Coupee Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,trying to get my students to collaborate further and engage more through group work and gallery work which displays their work.,Strongly agree,Tamala,Strongly agree,Strongly agree,NA,NA,NA,NA,I learned how to better utilize prior knowledge to engage my students further.,"Group work, gallery work, and discussions.",Understanding how to engage my students further who are more advanced.,10,10,Continue to give us idea on how to help our students learn more.
2019-10-22,"IM Student Thinking, Day 2",Pt. Coupee Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,"I am excited about trying out the ""re-engage"" technique!",Strongly agree,Tamala,Strongly agree,Strongly agree,NA,NA,NA,NA,Everything went well in today's session.,The activity where we gave our challenges as a group and worked together to find solutions that we could implement in our classes.,Food.,10,I always learn something each time I meet with Ms.Wiley and my colleagues.,NA
